x_name,x_type,y_name,y_type,relation
meprobamate,drug,headache,disease,treats
doxylamine,drug,headache,disease,treats
sodium benzoate,drug,headache,disease,treats
butalbital,drug,headache,disease,treats
azathioprine,drug,crohn's disease,disease,treats
natalizumab,drug,crohn's disease,disease,treats
ustekinumab,drug,crohn's disease,disease,treats
budesonide,drug,crohn's disease,disease,treats
efficacy study of botulinum toxin (botox) injections to treat vocal fold granulomas,drug,crohn's disease,disease,treats
simple hygiene versus alcohol based usual care for umbilical cord,drug,crohn's disease,disease,treats
comparing xperguide vs. conventional methods during percutaneous image guided procedures,drug,crohn's disease,disease,treats
azathioprine,drug,ulcerative colitis,disease,treats
cortisol,drug,ulcerative colitis,disease,treats
balsalazide,drug,ulcerative colitis,disease,treats
olsalazine,drug,ulcerative colitis,disease,treats
adalimumab,drug,ulcerative colitis,disease,treats
tacrolimus,drug,ulcerative colitis,disease,treats
mesalazine,drug,ulcerative colitis,disease,treats
certolizumab pegol,drug,ulcerative colitis,disease,treats
golimumab,drug,ulcerative colitis,disease,treats
infliximab,drug,ulcerative colitis,disease,treats
etanercept,drug,ulcerative colitis,disease,treats
betamethasone,drug,ulcerative colitis,disease,treats
sulfasalazine,drug,ulcerative colitis,disease,treats
ustekinumab,drug,ulcerative colitis,disease,treats
budesonide,drug,ulcerative colitis,disease,treats
methotrexate,drug,ulcerative colitis,disease,treats
prednisone,drug,ulcerative colitis,disease,treats
budesonide/formoterol,drug,ulcerative colitis,disease,treats
tofacitinib,drug,ulcerative colitis,disease,treats
vedolizumab,drug,ulcerative colitis,disease,treats
prednisolone,drug,ulcerative colitis,disease,treats
management of ulcerative colitis,drug,ulcerative colitis,disease,treats
mercaptopurine hydrate,drug,ulcerative colitis,disease,treats
(−)-nicotine,drug,ulcerative colitis,disease,treats
azathioprine,drug,systemic lupus erythematosus,disease,treats
cyclosporine,drug,systemic lupus erythematosus,disease,treats
(rs)-cyclophosphamide,drug,systemic lupus erythematosus,disease,treats
hydroxychloroquine,drug,systemic lupus erythematosus,disease,treats
triamcinolone,drug,systemic lupus erythematosus,disease,treats
frentizole,drug,systemic lupus erythematosus,disease,treats
oseltamivir,drug,influenza,disease,treats
amantadine,drug,influenza,disease,treats
peramivir,drug,influenza,disease,treats
anti-influenza drug,drug,influenza,disease,treats
baloxavir marboxil,drug,influenza,disease,treats
influenza treatment,drug,influenza,disease,treats
avigan,drug,influenza,disease,treats
eltrombopag,drug,anemia,disease,treats
oxymetholone,drug,anemia,disease,treats
nandrolone,drug,anemia,disease,treats
sodium ascorbate,drug,anemia,disease,treats
(rs)-lenalidomide,drug,anemia,disease,treats
anti-anemic,drug,anemia,disease,treats
chalybeate spring,drug,anemia,disease,treats
deferasirox,drug,anemia,disease,treats
epoetin alfa,drug,anemia,disease,treats
methoxy polyethylene glycol-epoetin beta,drug,anemia,disease,treats
sodium ferric gluconate complex,drug,anemia,disease,treats
copper-iron spring,drug,anemia,disease,treats
ferric carboxymaltose,drug,anemia,disease,treats
daprodustat,drug,anemia,disease,treats
iron sucrose,drug,anemia,disease,treats
ferumoxides,drug,anemia,disease,treats
conversion therapy,drug,homosexuality,disease,treats
tenofovir disoproxil,drug,hepatitis b,disease,treats
adefovir,drug,hepatitis b,disease,treats
peginterferon alfa-2a,drug,hepatitis b,disease,treats
lamivudine,drug,hepatitis b,disease,treats
clevudine,drug,hepatitis b,disease,treats
tenofovir alafenamide,drug,hepatitis b,disease,treats
entecavir hydrate,drug,hepatitis b,disease,treats
bicyclol,drug,hepatitis b,disease,treats
azathioprine,drug,multiple sclerosis,disease,treats
hydroxocobalamin,drug,multiple sclerosis,disease,treats
corticotropin,drug,multiple sclerosis,disease,treats
mitoxantrone,drug,multiple sclerosis,disease,treats
cyanocobalamin,drug,multiple sclerosis,disease,treats
dalfampridine,drug,multiple sclerosis,disease,treats
natalizumab,drug,multiple sclerosis,disease,treats
(rs)-cyclophosphamide,drug,multiple sclerosis,disease,treats
gabapentin,drug,multiple sclerosis,disease,treats
modafinil,drug,multiple sclerosis,disease,treats
pregabalin,drug,multiple sclerosis,disease,treats
rituximab,drug,multiple sclerosis,disease,treats
daclizumab,drug,multiple sclerosis,disease,treats
(rs)-baclofen,drug,multiple sclerosis,disease,treats
cladribine,drug,multiple sclerosis,disease,treats
betamethasone,drug,multiple sclerosis,disease,treats
methylprednisolone,drug,multiple sclerosis,disease,treats
dimethyl fumarate,drug,multiple sclerosis,disease,treats
armodafinil,drug,multiple sclerosis,disease,treats
alemtuzumab,drug,multiple sclerosis,disease,treats
dantrolene,drug,multiple sclerosis,disease,treats
fingolimod,drug,multiple sclerosis,disease,treats
interferon beta-1b,drug,multiple sclerosis,disease,treats
ocrelizumab,drug,multiple sclerosis,disease,treats
interferon beta-1a,drug,multiple sclerosis,disease,treats
apremilast,drug,multiple sclerosis,disease,treats
haloperidol,drug,mental disorder,disease,treats
sertraline,drug,mental disorder,disease,treats
(rs)-citalopram,drug,mental disorder,disease,treats
lamotrigine,drug,mental disorder,disease,treats
aripiprazole,drug,mental disorder,disease,treats
(s)-duloxetine,drug,mental disorder,disease,treats
risperidone,drug,mental disorder,disease,treats
fluoxetine,drug,mental disorder,disease,treats
paliperidone,drug,mental disorder,disease,treats
psychiatric medication,drug,mental disorder,disease,treats
treatment of mental disorders,drug,mental disorder,disease,treats
"mental health among patients, providers, and staff during the covid-19 era (mhapps)",drug,mental disorder,disease,treats
aspirin,drug,myocardial infarction,disease,treats
(rs)-metoprolol,drug,myocardial infarction,disease,treats
clopidogrel,drug,myocardial infarction,disease,treats
verapamil,drug,myocardial infarction,disease,treats
atenolol,drug,myocardial infarction,disease,treats
bisoprolol,drug,myocardial infarction,disease,treats
carvedilol,drug,myocardial infarction,disease,treats
(s)-(−)-timolol,drug,myocardial infarction,disease,treats
tirofiban,drug,myocardial infarction,disease,treats
streptokinase,drug,myocardial infarction,disease,treats
pindolol,drug,myocardial infarction,disease,treats
esmolol,drug,myocardial infarction,disease,treats
acebutolol,drug,myocardial infarction,disease,treats
diltiazem,drug,myocardial infarction,disease,treats
propranolol,drug,myocardial infarction,disease,treats
nadolol,drug,myocardial infarction,disease,treats
penbutolol,drug,myocardial infarction,disease,treats
labetalol,drug,myocardial infarction,disease,treats
tenecteplase,drug,myocardial infarction,disease,treats
dalteparin,drug,myocardial infarction,disease,treats
percutaneous coronary intervention,drug,myocardial infarction,disease,treats
eptifibatide,drug,myocardial infarction,disease,treats
pharmaceutical preparation of nitroglycerin,drug,myocardial infarction,disease,treats
anisindione,drug,myocardial infarction,disease,treats
sulfinpyrazone,drug,myocardial infarction,disease,treats
anistreplase,drug,myocardial infarction,disease,treats
esatenolol,drug,myocardial infarction,disease,treats
urokinase,drug,myocardial infarction,disease,treats
cinchonidine,drug,malaria,disease,treats
(rs)-primaquine,drug,malaria,disease,treats
pyrimethamine,drug,malaria,disease,treats
hydroxychloroquine,drug,malaria,disease,treats
chloroquine,drug,malaria,disease,treats
doxycycline,drug,malaria,disease,treats
antimalarial,drug,malaria,disease,treats
mefloquine,drug,malaria,disease,treats
sulfadiazine,drug,malaria,disease,treats
artemether/lumefantrine,drug,malaria,disease,treats
primaquine phosphate,drug,malaria,disease,treats
bitterwood,drug,malaria,disease,treats
dl-amphetamine,drug,obesity,disease,treats
d-methamphetamine,drug,obesity,disease,treats
mazindol,drug,obesity,disease,treats
(+)-norephedrin,drug,obesity,disease,treats
phentermine,drug,obesity,disease,treats
orlistat,drug,obesity,disease,treats
phendimetrazine,drug,obesity,disease,treats
(rs)-diethylpropion,drug,obesity,disease,treats
benzphetamine,drug,obesity,disease,treats
phenmetrazine,drug,obesity,disease,treats
chlorphentermine,drug,obesity,disease,treats
dirlotapide,drug,obesity,disease,treats
sulphur spring,drug,obesity,disease,treats
semaglutide,drug,obesity,disease,treats
(-)-norephedrine hydrochloride,drug,obesity,disease,treats
lorcaserin hydrochloride,drug,obesity,disease,treats
promoting successful weight loss in primary care in louisiana,drug,obesity,disease,treats
obesity management,drug,obesity,disease,treats
weight loss treatment,drug,obesity,disease,treats
amycretin,drug,obesity,disease,treats
clarithromycin,drug,pneumonia,disease,treats
azithromycin,drug,pneumonia,disease,treats
metronidazole,drug,pneumonia,disease,treats
ciprofloxacin,drug,pneumonia,disease,treats
n-acetyl-l-cysteine,drug,pneumonia,disease,treats
rac-salbutamol,drug,pneumonia,disease,treats
linezolid,drug,pneumonia,disease,treats
voriconazole,drug,pneumonia,disease,treats
cefuroxime,drug,pneumonia,disease,treats
sucralfate,drug,pneumonia,disease,treats
tigecycline,drug,pneumonia,disease,treats
ceftriaxone,drug,pneumonia,disease,treats
doxycycline,drug,pneumonia,disease,treats
vancomycin,drug,pneumonia,disease,treats
tiotropium,drug,pneumonia,disease,treats
moxifloxacin,drug,pneumonia,disease,treats
budesonide/formoterol,drug,pneumonia,disease,treats
sparfloxacin,drug,pneumonia,disease,treats
tobramycin,drug,pneumonia,disease,treats
cefepime,drug,pneumonia,disease,treats
tosufloxacin,drug,pneumonia,disease,treats
dicloxacillin sodium,drug,pneumonia,disease,treats
meropenem trihydrate,drug,pneumonia,disease,treats
levofloxacin hemihydrate,drug,pneumonia,disease,treats
albuterol / ipratropium,drug,pneumonia,disease,treats
hydroflumethiazide,drug,arterial hypertension,disease,treats
amlodipine/benazepril,drug,arterial hypertension,disease,treats
amlodipine/valsartan,drug,arterial hypertension,disease,treats
bepridil,drug,arterial hypertension,disease,treats
bunazosin,drug,arterial hypertension,disease,treats
clevidipine,drug,arterial hypertension,disease,treats
cyclothiazide,drug,arterial hypertension,disease,treats
dash diet,drug,arterial hypertension,disease,treats
deserpidine,drug,arterial hypertension,disease,treats
guanabenz,drug,arterial hypertension,disease,treats
guanadrel,drug,arterial hypertension,disease,treats
guanfacine,drug,arterial hypertension,disease,treats
sacubitril/valsartan,drug,arterial hypertension,disease,treats
mefruside,drug,arterial hypertension,disease,treats
methyclothiazide,drug,arterial hypertension,disease,treats
mibefradil,drug,arterial hypertension,disease,treats
polythiazide,drug,arterial hypertension,disease,treats
telmisartan/hydrochlorothiazide,drug,arterial hypertension,disease,treats
atenolol/chlorthalidone,drug,arterial hypertension,disease,treats
trimethaphan,drug,arterial hypertension,disease,treats
copper-iron spring,drug,arterial hypertension,disease,treats
radioactive hot spring,drug,arterial hypertension,disease,treats
sulfur spring,drug,arterial hypertension,disease,treats
dabigatran etexilate,drug,arterial hypertension,disease,treats
esatenolol,drug,arterial hypertension,disease,treats
management of hypertension,drug,arterial hypertension,disease,treats
bepafant,drug,arterial hypertension,disease,treats
carteolol hydrochloride,drug,arterial hypertension,disease,treats
(r)-betaxolol,drug,arterial hypertension,disease,treats
levonebivolol,drug,arterial hypertension,disease,treats
"(s,r,r,r)-nebivolol",drug,arterial hypertension,disease,treats
ethacrynate sodium,drug,arterial hypertension,disease,treats
clonidine hydrochloride,drug,arterial hypertension,disease,treats
irbesartan / hydrochlorothiazide,drug,arterial hypertension,disease,treats
lisinopril dihydrate,drug,arterial hypertension,disease,treats
enalapril / hydrochlorothiazide,drug,arterial hypertension,disease,treats
hydrochlorothiazide / triamterene,drug,arterial hypertension,disease,treats
hydrochlorothiazide / losartan,drug,arterial hypertension,disease,treats
hydrochlorothiazide / valsartan,drug,arterial hypertension,disease,treats
hydrochlorothiazide / spironolactone,drug,arterial hypertension,disease,treats
hydrochlorothiazide / lisinopril,drug,arterial hypertension,disease,treats
bisoprolol / hydrochlorothiazide,drug,arterial hypertension,disease,treats
candesartan / hydrochlorothiazide,drug,arterial hypertension,disease,treats
amlodipine / atorvastatin,drug,arterial hypertension,disease,treats
lisinopril/amlodipine,drug,arterial hypertension,disease,treats
rac-benidipine,drug,arterial hypertension,disease,treats
amoxapine,drug,major depressive disorder,disease,treats
antidepressant,drug,major depressive disorder,disease,treats
5-htp,drug,major depressive disorder,disease,treats
agomelatine,drug,major depressive disorder,disease,treats
(s)-duloxetine,drug,major depressive disorder,disease,treats
maprotiline,drug,major depressive disorder,disease,treats
bupropion,drug,major depressive disorder,disease,treats
norepinephrine-dopamine reuptake inhibitor,drug,major depressive disorder,disease,treats
levosulpiride,drug,major depressive disorder,disease,treats
psychoeducation,drug,major depressive disorder,disease,treats
levomilnacipran,drug,major depressive disorder,disease,treats
management of depression,drug,major depressive disorder,disease,treats
wake therapy,drug,major depressive disorder,disease,treats
talkspace,drug,major depressive disorder,disease,treats
vilazodone hydrochloride,drug,major depressive disorder,disease,treats
zoloft,drug,major depressive disorder,disease,treats
therapeutic lifestyle change,drug,major depressive disorder,disease,treats
chloropyramine,drug,allergy,disease,treats
bepafant,drug,allergy,disease,treats
anti-allergic agents,drug,allergy,disease,treats
aciclovir,drug,chickenpox,disease,treats
chlorpromazine,drug,tetanus,disease,treats
methocarbamol,drug,tetanus,disease,treats
orphenadrine,drug,tetanus,disease,treats
cyclobenzaprine,drug,tetanus,disease,treats
metocurine iodide,drug,tetanus,disease,treats
anti-tetanus immunoglobulin,drug,tetanus,disease,treats
encorafenib,drug,lung cancer,disease,treats
paramount trial,drug,lung cancer,disease,treats
phase ii evaluation of paclitaxel and cisplatin in combination with split course hyperfractionated radiation,drug,lung cancer,disease,treats
5-fluorocytosine,drug,meningitis,disease,treats
amikacin,drug,meningitis,disease,treats
minocycline,drug,meningitis,disease,treats
ceftriaxone,drug,meningitis,disease,treats
flucloxacillin,drug,meningitis,disease,treats
allopurinol,drug,hyperuricemia,disease,treats
febuxostat,drug,hyperuricemia,disease,treats
mannitol hexanitrate,drug,hyperuricemia,disease,treats
rasburicase,drug,hyperuricemia,disease,treats
remdesivir,drug,ebola hemorrhagic fever,disease,treats
ibuprofen,drug,enthesopathy,disease,treats
cortisol,drug,enthesopathy,disease,treats
(rs)-cyclophosphamide,drug,enthesopathy,disease,treats
indomethacin,drug,enthesopathy,disease,treats
hydroxychloroquine,drug,enthesopathy,disease,treats
prednisone,drug,enthesopathy,disease,treats
sulindac,drug,enthesopathy,disease,treats
triamcinolone,drug,enthesopathy,disease,treats
naproxen,drug,enthesopathy,disease,treats
prednisolone,drug,enthesopathy,disease,treats
ibuprofen,drug,ankylosing spondylitis,disease,treats
diclofenac,drug,ankylosing spondylitis,disease,treats
adalimumab,drug,ankylosing spondylitis,disease,treats
erythromycin,drug,chancroid,disease,treats
ceftriaxone,drug,chancroid,disease,treats
n-acetyl-l-cysteine,drug,bronchiectasis,disease,treats
tiotropium,drug,bronchiectasis,disease,treats
tobramycin,drug,bronchiectasis,disease,treats
postural drainage,drug,bronchiectasis,disease,treats
mepolizumab,drug,churg-strauss syndrome,disease,treats
clarithromycin,drug,staphylococcal infection,disease,treats
cefixime,drug,staphylococcal infection,disease,treats
azithromycin,drug,staphylococcal infection,disease,treats
lomefloxacin,drug,staphylococcal infection,disease,treats
erythromycin,drug,staphylococcal infection,disease,treats
ampicillin,drug,staphylococcal infection,disease,treats
ciprofloxacin,drug,staphylococcal infection,disease,treats
methicillin,drug,staphylococcal infection,disease,treats
ceftaroline fosamil,drug,staphylococcal infection,disease,treats
linezolid,drug,staphylococcal infection,disease,treats
cephalexin,drug,staphylococcal infection,disease,treats
dl-ofloxacin,drug,staphylococcal infection,disease,treats
mupirocin,drug,staphylococcal infection,disease,treats
cefuroxime,drug,staphylococcal infection,disease,treats
cefaclor,drug,staphylococcal infection,disease,treats
cefazolin,drug,staphylococcal infection,disease,treats
norfloxacin,drug,staphylococcal infection,disease,treats
cefotaxime,drug,staphylococcal infection,disease,treats
oxacillin,drug,staphylococcal infection,disease,treats
(2r)-daptomycin,drug,staphylococcal infection,disease,treats
ceftriaxone,drug,staphylococcal infection,disease,treats
penicillin v,drug,staphylococcal infection,disease,treats
cloxacillin,drug,staphylococcal infection,disease,treats
clindamycin,drug,staphylococcal infection,disease,treats
doxycycline,drug,staphylococcal infection,disease,treats
gentamicin,drug,staphylococcal infection,disease,treats
rifampicin,drug,staphylococcal infection,disease,treats
trimethoprim,drug,staphylococcal infection,disease,treats
lincomycin,drug,staphylococcal infection,disease,treats
vancomycin,drug,staphylococcal infection,disease,treats
levofloxacin,drug,staphylococcal infection,disease,treats
bacitracin a,drug,staphylococcal infection,disease,treats
moxifloxacin,drug,staphylococcal infection,disease,treats
imipen,drug,staphylococcal infection,disease,treats
trovafloxacin,drug,staphylococcal infection,disease,treats
cefapirin,drug,staphylococcal infection,disease,treats
ceftazidime,drug,staphylococcal infection,disease,treats
sparfloxacin,drug,staphylococcal infection,disease,treats
ceftizoxime,drug,staphylococcal infection,disease,treats
troleandomycin,drug,staphylococcal infection,disease,treats
cefdinir,drug,staphylococcal infection,disease,treats
enoxacin,drug,staphylococcal infection,disease,treats
tobramycin,drug,staphylococcal infection,disease,treats
dirithromycin,drug,staphylococcal infection,disease,treats
dicloxacillin,drug,staphylococcal infection,disease,treats
cefadroxil,drug,staphylococcal infection,disease,treats
cefoperazone,drug,staphylococcal infection,disease,treats
cefoxitin,drug,staphylococcal infection,disease,treats
gatifloxacin,drug,staphylococcal infection,disease,treats
furazolidone,drug,staphylococcal infection,disease,treats
cefepime,drug,staphylococcal infection,disease,treats
cefamandole,drug,staphylococcal infection,disease,treats
cefotetan,drug,staphylococcal infection,disease,treats
cephalothin,drug,staphylococcal infection,disease,treats
(e)-cefprozil,drug,staphylococcal infection,disease,treats
cyclacillin,drug,staphylococcal infection,disease,treats
ibafloxacin,drug,staphylococcal infection,disease,treats
levofloxacin hemihydrate,drug,staphylococcal infection,disease,treats
sulfamethoxazole / trimethoprim,drug,staphylococcal infection,disease,treats
cocaine,drug,cough,disease,treats
codeine,drug,cough,disease,treats
pentoxyverine,drug,cough,disease,treats
bromhexine,drug,cough,disease,treats
hydromorphone,drug,cough,disease,treats
dihydrocodeine,drug,cough,disease,treats
dextromethorphan,drug,cough,disease,treats
hydrocodone,drug,cough,disease,treats
guaifenesin,drug,cough,disease,treats
benzonatate,drug,cough,disease,treats
caramiphen,drug,cough,disease,treats
well of the tree,drug,cough,disease,treats
halothane,drug,asthma,disease,treats
zileuton,drug,asthma,disease,treats
(−)-ephedrine,drug,asthma,disease,treats
(rs)-clenbuterol,drug,asthma,disease,treats
(+)-pseudoephedrine,drug,asthma,disease,treats
theophylline,drug,asthma,disease,treats
clopidogrel,drug,asthma,disease,treats
rac-salbutamol,drug,asthma,disease,treats
betamethasone,drug,asthma,disease,treats
cromoglicic acid,drug,asthma,disease,treats
metaproterenol,drug,asthma,disease,treats
montelukast,drug,asthma,disease,treats
budesonide,drug,asthma,disease,treats
salmeterol,drug,asthma,disease,treats
terbutaline,drug,asthma,disease,treats
aminophylline,drug,asthma,disease,treats
formoterol,drug,asthma,disease,treats
onsen,drug,asthma,disease,treats
zafirlukast,drug,asthma,disease,treats
dyphylline,drug,asthma,disease,treats
troleandomycin,drug,asthma,disease,treats
ethanol,drug,methanol poisoning,disease,treated_by
ethanol,drug,ethylene glycol exposure,disease,treated_by
lithium,drug,logorrhea,disease,treated_by
iron,drug,iron deficiency anemia,disease,treated_by
iron,drug,hypochromic anemia,disease,treated_by
manganese,drug,nutritional deficiency disease,disease,treated_by
arsenic,drug,acute promyelocytic leukemia,disease,treated_by
selenium,drug,nutritional deficiency disease,disease,treated_by
gold,drug,rheumatoid arthritis,disease,treated_by
bismuth,drug,bacterial infectious disease,disease,treated_by
bismuth,drug,viral infectious disease,disease,treated_by
bismuth,drug,escherichia coli infectious disease,disease,treated_by
sodium chloride,drug,hemorrhagic shock,disease,treated_by
sodium chloride,drug,dry eye syndrome,disease,treated_by
sodium chloride,drug,corneal edema,disease,treated_by
potassium bromide,drug,epilepsy,disease,treated_by
(rs)-rabeprazole,drug,zollinger–ellison syndrome,disease,treated_by
(rs)-rabeprazole,drug,gastroesophageal reflux disease,disease,treated_by
(rs)-rabeprazole,drug,duodenal ulcer,disease,treated_by
arsenic trioxide,drug,acute promyelocytic leukemia,disease,treated_by
truth,drug,khusran,disease,treated_by
medicine,drug,holy basil,disease,treated_by
nicotine,drug,ulcerative colitis,disease,treated_by
nicotine,drug,nicotine dependence,disease,treated_by
antibiotic,drug,crohn's disease,disease,treated_by
antibiotic,drug,pneumonia,disease,treated_by
antibiotic,drug,canine influenza,disease,treated_by
antibiotic,drug,adamsite exposure,disease,treated_by
penicillin,drug,diphtheria,disease,treated_by
penicillin,drug,scarlet fever,disease,treated_by
penicillin,drug,streptococcal pharyngitis,disease,treated_by
aspirin,drug,fever,disease,treated_by
aspirin,drug,osteoarthritis,disease,treated_by
aspirin,drug,pain,disease,treated_by
aspirin,drug,inflammation,disease,treated_by
aspirin,drug,gout,disease,treated_by
aspirin,drug,rheumatoid arthritis,disease,treated_by
aspirin,drug,heart disease,disease,treated_by
aspirin,drug,hyperthermia,disease,treated_by
aspirin,drug,kawasaki disease,disease,treated_by
aspirin,drug,acute coronary syndrome,disease,treated_by
aspirin,drug,rheumatic fever,disease,treated_by
aspirin,drug,atrial fibrillation,disease,treated_by
aspirin,drug,tension headache,disease,treated_by
aspirin,drug,arteriosclerotic heart disease,disease,treated_by
aspirin,drug,carotid artery stenosis,disease,treated_by
aspirin,drug,retinal vein occlusion,disease,treated_by
aspirin,drug,acute myocardial infarction,disease,treated_by
aspirin,drug,feline arterial thromboembolism,disease,treated_by
doxorubicin,drug,breast cancer,disease,treated_by
doxorubicin,drug,ovarian cancer,disease,treated_by
doxorubicin,drug,lymphoma,disease,treated_by
doxorubicin,drug,hodgkin lymphoma,disease,treated_by
doxorubicin,drug,acute myeloid leukemia,disease,treated_by
doxorubicin,drug,mantle cell lymphoma,disease,treated_by
doxorubicin,drug,bladder cancer,disease,treated_by
doxorubicin,drug,osteosarcoma,disease,treated_by
doxorubicin,drug,chronic lymphocytic leukemia,disease,treated_by
doxorubicin,drug,ewing sarcoma,disease,treated_by
doxorubicin,drug,non-hodgkin lymphoma,disease,treated_by
doxorubicin,drug,post-transplant lymphoproliferative disorder,disease,treated_by
doxorubicin,drug,hepatoblastoma,disease,treated_by
doxorubicin,drug,invasive ductal carcinoma,disease,treated_by
doxorubicin,drug,transitional cell carcinoma,disease,treated_by
doxorubicin,drug,diffuse large b-cell lymphoma,disease,treated_by
doxorubicin,drug,b-cell lymphoma,disease,treated_by
doxorubicin,drug,precursor t-cell lymphoblastic leukemia,disease,treated_by
doxorubicin,drug,t-cell lymphoma,disease,treated_by
doxorubicin,drug,plasmablastic lymphoma,disease,treated_by
doxorubicin,drug,mature t-cell and nk-cell lymphoma,disease,treated_by
doxorubicin,drug,hematologic cancer,disease,treated_by
doxorubicin,drug,primary mediastinal b-cell lymphoma,disease,treated_by
doxorubicin,drug,precursor t-cell acute lymphoblastic leukemia,disease,treated_by
doxorubicin,drug,"neuroblastoma, susceptibility to",disease,treated_by
doxorubicin,drug,bone sarcoma,disease,treated_by
doxorubicin,drug,low-grade serous carcinoma,disease,treated_by
azathioprine,drug,ulcerative colitis,disease,treated_by
azathioprine,drug,systemic lupus erythematosus,disease,treated_by
azathioprine,drug,multiple sclerosis,disease,treated_by
azathioprine,drug,myasthenia gravis,disease,treated_by
azathioprine,drug,rheumatoid arthritis,disease,treated_by
azathioprine,drug,autoimmune thrombocytopenic purpura,disease,treated_by
azathioprine,drug,autoimmune hepatitis,disease,treated_by
azathioprine,drug,autoimmune disease,disease,treated_by
azathioprine,drug,crohn's colitis,disease,treated_by
azathioprine,drug,primary angiitis of the central nervous system,disease,treated_by
metformin,drug,diabetes,disease,treated_by
metformin,drug,hyperglycemia,disease,treated_by
metformin,drug,type 2 diabetes,disease,treated_by
metformin,drug,maturity-onset diabetes of the young type 2,disease,treated_by
lysergic acid diethylamide,drug,depression,disease,treated_by
calcium carbonate,drug,peptic ulcer disease,disease,treated_by
calcium carbonate,drug,gastroesophageal reflux disease,disease,treated_by
calcium carbonate,drug,duodenal ulcer,disease,treated_by
calcium carbonate,drug,heartburn,disease,treated_by
calcium carbonate,drug,indigestion,disease,treated_by
calcium carbonate,drug,chronic renal insufficiency,disease,treated_by
calcium carbonate,drug,hematochezia,disease,treated_by
calcium carbonate,drug,peptic esophagitis,disease,treated_by
calcium carbonate,drug,gastric ulcer,disease,treated_by
(rs)-ketamine,drug,pain,disease,treated_by
(rs)-ketamine,drug,substance abuse,disease,treated_by
(rs)-ketamine,drug,depression,disease,treated_by
(rs)-ketamine,drug,excited delirium,disease,treated_by
light therapy,drug,depression,disease,treated_by
ampicillin,drug,staphylococcal infection,disease,treated_by
ampicillin,drug,typhoid fever,disease,treated_by
ampicillin,drug,gonorrhea,disease,treated_by
ampicillin,drug,diphtheria,disease,treated_by
ampicillin,drug,listeriosis,disease,treated_by
ampicillin,drug,erysipelas,disease,treated_by
ampicillin,drug,urinary tract infection,disease,treated_by
ampicillin,drug,glanders,disease,treated_by
ampicillin,drug,actinomycosis,disease,treated_by
ampicillin,drug,meningococcal disease,disease,treated_by
ampicillin,drug,balantidiasis,disease,treated_by
ampicillin,drug,infective endocarditis,disease,treated_by
ampicillin,drug,upper respiratory tract infection,disease,treated_by
ampicillin,drug,bacterial meningitis,disease,treated_by
ampicillin,drug,escherichia coli infectious disease,disease,treated_by
ampicillin,drug,pneumococcal infection,disease,treated_by
ampicillin,drug,brazilian purpuric fever,disease,treated_by
ampicillin,drug,haemophilus influenzae infectious disease,disease,treated_by
ampicillin,drug,far east scarlet-like fever,disease,treated_by
ampicillin,drug,gram-negative bacterial infection,disease,treated_by
diclofenac,drug,ankylosing spondylitis,disease,treated_by
diclofenac,drug,plantar fasciitis,disease,treated_by
diclofenac,drug,osteoarthritis,disease,treated_by
diclofenac,drug,pain,disease,treated_by
diclofenac,drug,inflammation,disease,treated_by
diclofenac,drug,gout,disease,treated_by
diclofenac,drug,migraine,disease,treated_by
diclofenac,drug,arthritis,disease,treated_by
diclofenac,drug,rheumatoid arthritis,disease,treated_by
diclofenac,drug,photophobia,disease,treated_by
diclofenac,drug,actinic keratosis,disease,treated_by
diclofenac,drug,arthropathy,disease,treated_by
diclofenac,drug,juvenile rheumatoid arthritis,disease,treated_by
diclofenac,drug,peripheral neuropathy,disease,treated_by
diclofenac,drug,medial epicondylitis,disease,treated_by
diclofenac,drug,rotator cuff tear,disease,treated_by
diclofenac,drug,keratosis,disease,treated_by
diclofenac,drug,migraine without aura,disease,treated_by
diclofenac,drug,osteoarthritis susceptibility 1,disease,treated_by
d-sorbitol,drug,constipation,disease,treated_by
d-sorbitol,drug,end stage renal failure,disease,treated_by
natamycin,drug,conjunctivitis,disease,treated_by
natamycin,drug,aspergillosis,disease,treated_by
natamycin,drug,candidiasis,disease,treated_by
natamycin,drug,fungal infectious disease,disease,treated_by
natamycin,drug,blastomycosis,disease,treated_by
natamycin,drug,histoplasmosis,disease,treated_by
natamycin,drug,keratitis,disease,treated_by
natamycin,drug,sporotrichosis,disease,treated_by
natamycin,drug,blepharitis,disease,treated_by
natamycin,drug,coccidioidomycosis,disease,treated_by
natamycin,drug,cryptococcosis,disease,treated_by
natamycin,drug,microsporidiosis,disease,treated_by
leflunomide,drug,arthritis,disease,treated_by
leflunomide,drug,rheumatoid arthritis,disease,treated_by
leflunomide,drug,cytomegaloviral disease,disease,treated_by
immunosuppressive drug,drug,crohn's disease,disease,treated_by
nystatin,drug,candidiasis,disease,treated_by
nystatin,drug,vulvovaginal candidiasis,disease,treated_by
nystatin,drug,oral candidiasis,disease,treated_by
nystatin,drug,cutaneous candidiasis,disease,treated_by
haloperidol,drug,schizophrenia,disease,treated_by
haloperidol,drug,vomiting,disease,treated_by
haloperidol,drug,anxiety,disease,treated_by
haloperidol,drug,delirium,disease,treated_by
haloperidol,drug,psychosis,disease,treated_by
haloperidol,drug,tourette syndrome,disease,treated_by
haloperidol,drug,schizoaffective disorder,disease,treated_by
haloperidol,drug,schizophreniform disorder,disease,treated_by
